Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Homepage,100,68,29,200,38.72,0.000%,.25816,0.21,0.03,842.5
TOTAL,100,68,29,200,38.72,0.000%,.25816,0.21,0.03,842.5
