Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request 1,20,140,99,178,17.66,0.000%,1.04515,0.86,0.12,842.2
TOTAL,20,140,99,178,17.66,0.000%,1.04515,0.86,0.12,842.2
