Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request 2,150,89,39,214,49.36,0.000%,5.05595,4.16,0.57,842.7
TOTAL,150,89,39,214,49.36,0.000%,5.05595,4.16,0.57,842.7
